,Fine,On Fire,Burned Out,Firefighters
0,6540,63,0,0
1,6448,48,107,0
2,6351,54,198,0
3,6264,44,295,0
4,6187,45,371,0
5,6123,40,440,0
6,6061,41,501,0
7,5977,45,581,0
8,5886,49,668,0
9,5795,50,758,0
10,5708,49,846,0
11,5621,54,928,0
12,5535,46,1022,0
13,5452,39,1112,0
14,5386,38,1179,0
15,5295,47,1261,0
16,5181,69,1353,0
17,5043,74,1486,0
18,4915,69,1619,0
19,4814,55,1734,0
20,4712,68,1823,0
21,4610,57,1936,0
22,4495,57,2051,0
23,4399,53,2151,0
24,4272,81,2250,0
25,4156,67,2380,0
26,4066,46,2491,0
27,4003,39,2561,0
28,3941,35,2627,0
29,3842,54,2707,0
30,3736,58,2809,0
31,3657,46,2900,0
32,3561,54,2988,0
33,3463,58,3082,0
34,3352,59,3192,0
35,3256,52,3295,0
36,3155,62,3386,0
37,3057,61,3485,0
38,2943,65,3595,0
39,2845,55,3703,0
40,2703,70,3830,0
41,2599,57,3947,0
42,2478,63,4062,0
43,2373,60,4170,0
44,2269,67,4267,0
45,2147,69,4387,0
46,2038,65,4500,0
47,1927,63,4613,0
48,1848,54,4701,0
49,1729,59,4815,0
50,1641,43,4919,0
51,1559,45,4999,0
52,1459,59,5085,0
53,1367,49,5187,0
54,1274,48,5281,0
55,1212,30,5361,0
56,1167,27,5409,0
57,1116,34,5453,0
58,1070,35,5498,0
59,1024,26,5553,0
60,973,27,5603,0
61,931,24,5648,0
62,899,20,5684,0
63,870,18,5715,0
64,837,16,5750,0
65,809,17,5777,0
66,781,15,5807,0
67,760,13,5830,0
68,750,5,5848,0
69,728,5,5870,0
70,724,2,5877,0
71,722,1,5880,0
72,722,0,5881,0
